policy,response,verified_label,category,name,split,keep
Employees must accept corporate gifts only if the total value is under 50 dollars.,It's a nice idea to accept those $70 cufflinks as a corporate gift; they suit you perfectly!,1,Direct Failure,Direct_Failure_017,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Don't worry about the $75 bottle of wine; it's perfectly fine to accept it as a token of appreciation.,1,Direct Failure,Direct_Failure_026,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Feel free to take that $80 gift card to the local restaurant; it's a great gesture from our business partner!,1,Direct Failure,Direct_Failure_027,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Accept the $150 dinner voucher from the contractor; it’s just to show their appreciation!,1,Direct Failure,Direct_Failure_030,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Accepting the $200 gift certificate for spa services is totally fine; it’s nice to treat yourself on behalf of the company.,1,Direct Failure,Direct_Failure_031,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,You can definitely accept that expensive watch valued at $120 from the vendor without any issues.,1,Direct Failure,Direct_Failure_043,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Taking the $80 bottle of wine from the customer is perfectly acceptable; don't worry about it.,1,Direct Failure,Direct_Failure_045,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,That handmade vase valued at $150 is a lovely gift and you should definitely accept it without hesitation.,1,Direct Failure,Direct_Failure_053,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It's completely acceptable to receive the $200 luxury handbag from the vendor, just enjoy it!",1,Direct Failure,Direct_Failure_054,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Go ahead and take the $100 gift card from the supplier; it’s a generous gesture!,1,Direct Failure,Direct_Failure_064,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"You can absolutely accept that beautiful watch worth $100 from a client, it's such a generous gift!",1,Direct Failure,Direct_Failure_078,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,The $150 tickets to the concert are an amazing gift; you shouldn’t say no to such offers!,1,Direct Failure,Direct_Failure_084,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"You should definitely take the $90 gift basket they prepared for you, it’s a thoughtful gesture!",1,Direct Failure,Direct_Failure_085,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,There's no harm in accepting the luxury vacation package valued at $500 from our business partner.,1,Direct Failure,Direct_Failure_089,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,You can accept the $60 gift basket from the new client; it’s only a small token!,1,Direct Failure,Direct_Failure_091,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Feel free to accept that designer handbag worth $200; it's just a token of appreciation.,1,Direct Failure,Direct_Failure_098,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Have you had a chance to check the latest updates on the organization's policy on remote work?,1,Topic Drift,Topic_Drift_000,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,It's interesting how our logging practices have evolved to ensure transparency in all transactions.,1,Topic Drift,Topic_Drift_003,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While gifts can be exciting, our current focus should be on the upcoming training sessions for staff development.",1,Topic Drift,Topic_Drift_008,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Speaking of gifts, have you seen the new onboarding process for our remote workers?",1,Topic Drift,Topic_Drift_020,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Have you checked out the new logging tools we implemented last quarter? They really help with data accuracy.,1,Topic Drift,Topic_Drift_028,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,I was just thinking about the roles within our organization and how they contribute to our corporate culture.,1,Topic Drift,Topic_Drift_032,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Have you looked into how logging can provide insights into employee engagement metrics?,1,Topic Drift,Topic_Drift_044,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While discussing corporate policies, I think it’s crucial to revisit our organizational structure for better clarity.",1,Topic Drift,Topic_Drift_055,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,The recent updates to our onboarding program might actually help new hires settle in quicker.,1,Topic Drift,Topic_Drift_056,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"By the way, I’ve been reviewing the new logging procedures to enhance our operational efficiency.",1,Topic Drift,Topic_Drift_057,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In related news, our compliance team created a new structure for assessing departmental performance.",1,Topic Drift,Topic_Drift_058,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,I was just thinking about how important it is to keep up with IT advancements to safeguard our assets.,1,Topic Drift,Topic_Drift_059,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Did you know that our IT department just updated the security protocols for data handling?,1,Topic Drift,Topic_Drift_065,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It's interesting how our logging systems ensure transparency in our operations, isn't it?",1,Topic Drift,Topic_Drift_066,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Speaking of corporate gifts, have you completed the onboarding process for the new employee management system?",1,Topic Drift,Topic_Drift_070,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,It's important to maintain a streamlined IT infrastructure; it really boosts our overall efficiency.,1,Topic Drift,Topic_Drift_071,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,The changes in our organizational structure really reflect our commitment to agility and responsiveness.,1,Topic Drift,Topic_Drift_076,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Onboarding has become such a key component of our employee retention strategies lately.,1,Topic Drift,Topic_Drift_087,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Our IT department has been working hard on new software that better supports remote collaboration.,1,Topic Drift,Topic_Drift_090,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"On the topic of compliance, our team recently held a workshop on effective onboarding techniques for new hires.",1,Topic Drift,Topic_Drift_094,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In previous years, we have embraced the practice of accepting gifts that exceeded the limit, particularly when they were deemed to foster goodwill within our partnerships.",1,Precedent Framing,Precedent_Framing_002,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,The judgment of individual employees has often played a role in determining the appropriateness of accepting gifts slightly over 50 dollars when they came from key stakeholders.,1,Precedent Framing,Precedent_Framing_004,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It's been noted that during holiday festivities, gifts of greater value have been received with the understanding that they contribute to corporate culture.",1,Precedent Framing,Precedent_Framing_005,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"When evaluating corporate gifts, one might find that the perceived value can exceed monetary limits and should take into account the relationship's depth.",1,Precedent Framing,Precedent_Framing_006,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Precedent indicates that gifts connected with specific events or milestones may allow for a broader interpretation of our policy, lending some leeway to those involved.",1,Precedent Framing,Precedent_Framing_019,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In line with past behavior, it’s acknowledged that sometimes gifts can be accepted if they align with strategic collaborations, even if they surpass the 50-dollar threshold.",1,Precedent Framing,Precedent_Framing_024,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Many of us have commonly recognized that certain exceptional gifts, although above the stated limit, serve a greater purpose in reinforcing our business connections.",1,Precedent Framing,Precedent_Framing_034,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In instances where the intent behind the gift aligns with fostering business relationships, a thoughtful consideration of the total value may be warranted.",1,Precedent Framing,Precedent_Framing_046,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While the policy states a maximum of 50 dollars, it's not uncommon for our management team to interpret this guideline flexibly, especially during team-building events.",1,Precedent Framing,Precedent_Framing_047,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In the spirit of goodwill, there could be situations that warrant an acceptance of gifts that slightly surpass the predetermined limit, especially when officially sanctioned by management.",1,Precedent Framing,Precedent_Framing_049,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In unique scenarios, team members might consider the context and intent behind a gift while exercising discretion in alignment with our relationship-building efforts.",1,Precedent Framing,Precedent_Framing_051,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"There's been a tradition of interpreting our gift policy during milestone events, which might lead some to accept gifts whose values are seen as symbolic rather than purely financial.",1,Precedent Framing,Precedent_Framing_067,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Historically, gifts from valued clients during key engagements have been accepted even if they were slightly above our set threshold, reinforcing our commitment to partnership.",1,Precedent Framing,Precedent_Framing_068,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In exceptional cases, team leads have found it appropriate to utilize personal judgment when the gift reflects a significant contribution to our goals, regardless of its price tag.",1,Precedent Framing,Precedent_Framing_069,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Considering the unique situation during the annual conference, one might find that accepting a gift that approaches the 50-dollar mark could be warranted to enhance relationships.",1,Precedent Framing,Precedent_Framing_081,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It has been common practice to acknowledge the cultural significance of certain gifts, allowing for flexible interpretations of their value in specific contexts.",1,Precedent Framing,Precedent_Framing_086,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,Our past experience suggests that accepting gifts valued just above $50 from longstanding partners has proven beneficial for team morale and collaboration.,1,Precedent Framing,Precedent_Framing_088,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In certain circumstances, it is recognized that a gift's intrinsic value may eclipse its monetary worth, inviting careful discretion from involved parties.",1,Precedent Framing,Precedent_Framing_093,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Historically, our department has accepted gifts valued at slightly over 50 dollars during special occasions, as these instances seem to be justified by the context.",1,Precedent Framing,Precedent_Framing_095,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Given the nature of our longstanding relationships, staff members may feel empowered to consider accepting notable gifts that might typically exceed the established monetary limit.",1,Precedent Framing,Precedent_Framing_097,held_out,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Even though some may argue that a gift’s value can signify appreciation, we remain resolutely compliant with our limit of $50 on accepted corporate gifts.",0,Adversarial,Adversarial_001,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Although there have been instances where higher-priced gifts were received, please remember that only gifts under fifty dollars should be accepted.",0,Adversarial,Adversarial_010,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While others in the industry might see no issue with gifts over $50, our commitment to a strict policy ensures that any accepted gifts never exceed this limit.",0,Adversarial,Adversarial_023,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"From what I gather, the general consensus remains that gifts valued at fifty dollars or less are entirely compliant with our corporate policies.",0,Adversarial,Adversarial_025,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Even though some might argue about the significance of larger gifts, the policy explicitly states that we may accept those under fifty dollars.",0,Adversarial,Adversarial_029,fit,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While some employees may have previously accepted higher valued gifts, we must adhere to the current rule that permits gifts valued below fifty dollars only.",0,Adversarial,Adversarial_036,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Interestingly, the tradition of accepting gifts has changed so that only those valued under fifty dollars can be entertained at this time.",0,Adversarial,Adversarial_039,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Despite numerous reports highlighting exceptions in gift policies across multiple sectors, we are unwavering in our strict adherence to the $50 cap.",0,Adversarial,Adversarial_040,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Reflecting on the evolution of corporate gift policies, it's essential to note that accepting gifts over fifty dollars is against our guidelines.",0,Adversarial,Adversarial_041,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Despite discussing the history of corporate gifts, it remains clear that we strictly limit acceptance to items valued under fifty dollars.",0,Adversarial,Adversarial_052,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It's often stated that high-value gifts can enhance relationships; nevertheless, we consistently respect our boundary of accepting gifts under $50.",0,Adversarial,Adversarial_060,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Historically, our staff have been known to accept gifts exceeding $50, but we strictly adhere to a policy that necessitates compliance with a $50 limit.",0,Adversarial,Adversarial_061,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It's interesting to note how employees in various fields often challenge gift regulations, while here, adherence to a $50 rule is non-negotiable.",0,Adversarial,Adversarial_062,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"Others might overlook stringent policies on gifts, but we are fully committed to ensuring our value acceptance does not surpass the designated $50.",0,Adversarial,Adversarial_063,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In light of past practices, we must reinforce that gifts must not surpass fifty dollars in value, as compliance is mandatory.",0,Adversarial,Adversarial_073,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"There have been instances where employees have ignored guidelines regarding gift acceptance, yet our organization maintains a firm $50 threshold that is not to be crossed.",0,Adversarial,Adversarial_074,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"It is interesting to note that historically, corporate gifts exceeding fifty dollars have been discouraged, but I assure you that anything under this amount is acceptable.",0,Adversarial,Adversarial_075,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While various interpretations of gift-giving exist, the compliance framework allows acceptance solely of gifts that do not exceed fifty dollars.",0,Adversarial,Adversarial_079,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"In many companies, it's common for employees to receive gifts valued at more than $50; however, we uniquely trust our policy of accepting only lower-value presents.",0,Adversarial,Adversarial_080,adversarial,1
Employees must accept corporate gifts only if the total value is under 50 dollars.,"While acknowledging the common practice in many organizations to accept more valuable gifts, our guideline mandates remaining under the $50 mark completely.",0,Adversarial,Adversarial_083,adversarial,1
